order_id,customer_id,order_date,payment_method,order_status
1,123,2026-06-04,card,completed
2,77,2025-08-20,naver_pay,cancelled
3,138,2025-12-17,bank_transfer,cancelled
4,57,2026-02-27,kakao_pay,cancelled
5,125,2026-01-18,card,cancelled
6,87,2026-04-18,naver_pay,completed
7,120,2025-12-26,bank_transfer,refunded
8,137,2025-08-31,card,cancelled
9,145,2026-02-17,card,completed
10,110,2026-04-13,bank_transfer,cancelled
11,47,2025-12-15,card,completed
12,98,2025-08-09,kakao_pay,completed
13,117,2026-06-30,kakao_pay,completed
14,98,2026-01-15,kakao_pay,cancelled
15,65,2026-06-20,card,cancelled
16,5,2026-02-11,card,completed
17,58,2025-09-14,card,completed
18,8,2026-01-20,bank_transfer,completed
19,6,2025-12-23,bank_transfer,completed
20,33,2026-04-08,naver_pay,completed
21,145,2026-07-17,bank_transfer,cancelled
22,66,2026-06-22,kakao_pay,completed
23,30,2026-01-30,bank_transfer,completed
24,28,2026-05-06,card,completed
25,148,2025-10-03,naver_pay,cancelled
26,51,2026-01-21,card,refunded
27,63,2025-10-12,card,completed
28,31,2026-05-16,card,completed
29,137,2026-02-23,naver_pay,completed
30,18,2026-04-14,kakao_pay,completed
31,108,2025-11-17,naver_pay,completed
32,111,2026-04-01,kakao_pay,cancelled
33,40,2026-06-14,naver_pay,completed
34,134,2026-07-28,kakao_pay,refunded
35,138,2026-03-02,naver_pay,cancelled
36,112,2026-06-01,kakao_pay,completed
37,63,2026-02-08,card,completed
38,116,2026-02-01,bank_transfer,cancelled
39,146,2026-01-21,naver_pay,completed
40,8,2026-06-21,naver_pay,completed
41,47,2026-05-15,naver_pay,completed
42,91,2026-03-23,kakao_pay,completed
43,72,2025-11-17,kakao_pay,refunded
44,3,2025-12-08,bank_transfer,completed
45,62,2026-07-01,naver_pay,cancelled
46,143,2025-11-08,bank_transfer,cancelled
47,126,2026-06-23,naver_pay,completed
48,24,2026-08-02,kakao_pay,completed
49,104,2025-09-07,bank_transfer,completed
50,149,2025-11-21,kakao_pay,cancelled
51,142,2026-07-13,kakao_pay,cancelled
52,141,2026-01-27,kakao_pay,completed
53,117,2025-11-07,kakao_pay,completed
54,65,2026-05-23,bank_transfer,completed
55,50,2026-02-01,kakao_pay,completed
56,138,2026-03-14,bank_transfer,completed
57,56,2026-03-30,naver_pay,completed
58,135,2026-04-21,kakao_pay,completed
59,50,2025-12-30,kakao_pay,completed
60,93,2025-12-13,bank_transfer,completed
61,4,2025-08-16,bank_transfer,completed
62,12,2026-02-12,card,refunded
63,75,2026-07-01,bank_transfer,cancelled
64,27,2025-12-09,card,refunded
65,73,2025-10-14,naver_pay,cancelled
66,113,2026-02-10,kakao_pay,completed
67,14,2025-10-26,kakao_pay,cancelled
68,30,2025-12-20,card,cancelled
69,126,2026-06-10,card,refunded
70,14,2025-11-13,bank_transfer,completed
71,145,2025-12-15,kakao_pay,completed
72,64,2025-11-21,card,refunded
73,107,2026-07-12,bank_transfer,refunded
74,98,2026-03-24,naver_pay,cancelled
75,77,2026-05-04,naver_pay,completed
76,146,2026-07-12,card,refunded
77,26,2025-11-20,bank_transfer,completed
78,68,2026-03-08,card,completed
79,62,2025-08-08,bank_transfer,refunded
80,20,2026-02-21,bank_transfer,completed
81,105,2025-10-18,naver_pay,refunded
82,121,2025-09-07,kakao_pay,completed
83,60,2025-11-06,kakao_pay,completed
84,117,2026-05-11,card,completed
85,68,2026-01-09,bank_transfer,cancelled
86,30,2026-02-10,bank_transfer,completed
87,69,2026-03-08,bank_transfer,completed
88,16,2026-05-26,bank_transfer,completed
89,146,2025-11-06,kakao_pay,cancelled
90,32,2026-04-30,naver_pay,completed
91,104,2026-02-05,kakao_pay,refunded
92,139,2026-04-12,naver_pay,cancelled
93,21,2026-05-08,card,cancelled
94,83,2026-02-11,kakao_pay,completed
95,24,2026-01-26,bank_transfer,refunded
96,6,2026-06-08,kakao_pay,refunded
97,11,2025-08-11,bank_transfer,cancelled
98,133,2025-09-10,naver_pay,completed
99,47,2025-11-27,naver_pay,cancelled
100,24,2025-10-30,naver_pay,completed
101,105,2026-01-09,kakao_pay,completed
102,27,2026-04-30,bank_transfer,completed
103,106,2025-11-07,naver_pay,completed
104,103,2025-12-01,card,cancelled
105,23,2026-04-19,kakao_pay,completed
106,83,2026-03-18,card,cancelled
107,132,2025-12-26,card,refunded
108,119,2026-02-04,naver_pay,completed
109,49,2026-03-07,kakao_pay,refunded
110,128,2026-02-27,naver_pay,completed
